Node ID,Attributes
55.0,"{'Longitude': 1270761.20017804, 'Latitude': 281362.060756162, 'Degree Centrality': 3.0, 'Betweenness Centrality': 64324.64592594947}"
56.0,"{'Longitude': 1271109.72933041, 'Latitude': 281358.539796159, 'Degree Centrality': 3.0, 'Betweenness Centrality': 177316.12377404253}"
57.0,"{'Longitude': 1268277.31735949, 'Latitude': 172954.348773152, 'Degree Centrality': 4.0, 'Betweenness Centrality': 83823.53835059894}"
58.0,"{'Longitude': 1267949.29604717, 'Latitude': 172956.300197154, 'Degree Centrality': 4.0, 'Betweenness Centrality': 31913.2793902888}"
59.0,"{'Longitude': 1293112.80640893, 'Latitude': 186888.097779423, 'Degree Centrality': 4.0, 'Betweenness Centrality': 10138.662468728866}"
60.0,"{'Longitude': 1292817.51437663, 'Latitude': 186607.558003128, 'Degree Centrality': 4.0, 'Betweenness Centrality': 94815.14943175064}"
61.0,"{'Longitude': 1261062.79863212, 'Latitude': 189161.988277748, 'Degree Centrality': 4.0, 'Betweenness Centrality': 1018074.9577166148}"
62.0,"{'Longitude': 1261055.6402321, 'Latitude': 188817.666101396, 'Degree Centrality': 3.0, 'Betweenness Centrality': 149418.61311474792}"
63.0,"{'Longitude': 1272464.65771578, 'Latitude': 287260.426586196, 'Degree Centrality': 3.0, 'Betweenness Centrality': 9895025.563423406}"
64.0,"{'Longitude': 1273788.08651714, 'Latitude': 287213.48905015, 'Degree Centrality': 3.0, 'Betweenness Centrality': 12649068.312435685}"
65.0,"{'Longitude': 1272454.03409977, 'Latitude': 177834.82391414, 'Degree Centrality': 3.0, 'Betweenness Centrality': 532828.9078412448}"
66.0,"{'Longitude': 1272444.24568376, 'Latitude': 177462.902761772, 'Degree Centrality': 1.0, 'Betweenness Centrality': 0.0}"
67.0,"{'Longitude': 1290300.04762205, 'Latitude': 166861.452190906, 'Degree Centrality': 4.0, 'Betweenness Centrality': 84777.99999999999}"
68.0,"{'Longitude': 1290264.08378202, 'Latitude': 166241.259486273, 'Degree Centrality': 1.0, 'Betweenness Centrality': 0.0}"
69.0,"{'Longitude': 1291331.86477511, 'Latitude': 180568.431340948, 'Degree Centrality': 3.0, 'Betweenness Centrality': 347575.8843353265}"
70.0,"{'Longitude': 1291975.29197577, 'Latitude': 180633.424301013, 'Degree Centrality': 1.0, 'Betweenness Centrality': 0.0}"
71.0,"{'Longitude': 1282213.24518177, 'Latitude': 271972.505034536, 'Degree Centrality': 3.0, 'Betweenness Centrality': 530420.5859202005}"
72.0,"{'Longitude': 1282284.28767784, 'Latitude': 272235.421834812, 'Degree Centrality': 3.0, 'Betweenness Centrality': 109703.68023922046}"
73.0,"{'Longitude': 1282715.23859029, 'Latitude': 233091.293474734, 'Degree Centrality': 4.0, 'Betweenness Centrality': 54791.56605346362}"
74.0,"{'Longitude': 1282726.5535343, 'Latitude': 233531.437603176, 'Degree Centrality': 4.0, 'Betweenness Centrality': 749855.4549820537}"
75.0,"{'Longitude': 1281281.27494082, 'Latitude': 226056.509979531, 'Degree Centrality': 4.0, 'Betweenness Centrality': 202835.79596227832}"
76.0,"{'Longitude': 1281551.9082851, 'Latitude': 226047.25077951, 'Degree Centrality': 4.0, 'Betweenness Centrality': 130696.23598291472}"
77.0,"{'Longitude': 1287215.17222689, 'Latitude': 201158.116866022, 'Degree Centrality': 3.0, 'Betweenness Centrality': 268884.99150413147}"
78.0,"{'Longitude': 1287404.61177908, 'Latitude': 201153.593538031, 'Degree Centrality': 3.0, 'Betweenness Centrality': 184193.32483740585}"
79.0,"{'Longitude': 1270277.30814555, 'Latitude': 258143.212860376, 'Degree Centrality': 4.0, 'Betweenness Centrality': 398837.0173962308}"
80.0,"{'Longitude': 1270642.56068993, 'Latitude': 258133.419196367, 'Degree Centrality': 3.0, 'Betweenness Centrality': 580991.964609264}"
81.0,"{'Longitude': 1280294.88581981, 'Latitude': 228275.444509804, 'Degree Centrality': 4.0, 'Betweenness Centrality': 125539.00874714988}"
82.0,"{'Longitude': 1280580.68646009, 'Latitude': 228267.878237784, 'Degree Centrality': 4.0, 'Betweenness Centrality': 617486.1929098892}"
83.0,"{'Longitude': 1278378.23845784, 'Latitude': 237799.906727552, 'Degree Centrality': 5.0, 'Betweenness Centrality': 459617.3597808544}"
84.0,"{'Longitude': 1278804.12933828, 'Latitude': 237789.334567547, 'Degree Centrality': 3.0, 'Betweenness Centrality': 47965.89629471496}"
85.0,"{'Longitude': 1272824.73246816, 'Latitude': 230863.305760443, 'Degree Centrality': 4.0, 'Betweenness Centrality': 280971.6087059962}"
86.0,"{'Longitude': 1273064.5368204, 'Latitude': 230856.854368433, 'Degree Centrality': 4.0, 'Betweenness Centrality': 298114.1211910755}"
87.0,"{'Longitude': 1281381.10514891, 'Latitude': 275680.326734334, 'Degree Centrality': 4.0, 'Betweenness Centrality': 153006.34784418307}"
88.0,"{'Longitude': 1281742.18412529, 'Latitude': 275669.226702332, 'Degree Centrality': 3.0, 'Betweenness Centrality': 20468.97378855236}"
89.0,"{'Longitude': 1266283.53726146, 'Latitude': 171371.195427522, 'Degree Centrality': 4.0, 'Betweenness Centrality': 355811.81290460244}"
90.0,"{'Longitude': 1266257.47658943, 'Latitude': 170710.072738856, 'Degree Centrality': 4.0, 'Betweenness Centrality': 136510.87055876976}"
91.0,"{'Longitude': 1275345.34392674, 'Latitude': 282544.803797364, 'Degree Centrality': 3.0, 'Betweenness Centrality': 117079.35758747609}"
92.0,"{'Longitude': 1275752.38968715, 'Latitude': 282779.186837614, 'Degree Centrality': 3.0, 'Betweenness Centrality': 78672.59437027427}"
93.0,"{'Longitude': 1264664.81015579, 'Latitude': 281906.94485271, 'Degree Centrality': 3.0, 'Betweenness Centrality': 63924.92795431092}"
94.0,"{'Longitude': 1264668.0404918, 'Latitude': 282139.998484954, 'Degree Centrality': 4.0, 'Betweenness Centrality': 290712.7933293622}"
95.0,"{'Longitude': 1264664.87082779, 'Latitude': 190436.459447056, 'Degree Centrality': 4.0, 'Betweenness Centrality': 584472.7259960222}"
96.0,"{'Longitude': 1264659.03127579, 'Latitude': 189769.788918361, 'Degree Centrality': 4.0, 'Betweenness Centrality': 453480.5645349065}"
97.0,"{'Longitude': 1277398.53695284, 'Latitude': 278181.299088895, 'Degree Centrality': 4.0, 'Betweenness Centrality': 302460.72370742296}"
98.0,"{'Longitude': 1278429.63762589, 'Latitude': 278182.661904901, 'Degree Centrality': 4.0, 'Betweenness Centrality': 210113.1362557411}"
99.0,"{'Longitude': 1273761.84018111, 'Latitude': 281094.578707889, 'Degree Centrality': 3.0, 'Betweenness Centrality': 134697.04440220466}"
100.0,"{'Longitude': 1273941.6010133, 'Latitude': 281087.15937987, 'Degree Centrality': 1.0, 'Betweenness Centrality': 0.0}"
101.0,"{'Longitude': 1266971.44593416, 'Latitude': 229144.100254685, 'Degree Centrality': 3.0, 'Betweenness Centrality': 69050.35602151386}"
102.0,"{'Longitude': 1267074.50084627, 'Latitude': 229257.475998804, 'Degree Centrality': 3.0, 'Betweenness Centrality': 396.2007952682044}"
103.0,"{'Longitude': 1263215.73661831, 'Latitude': 233093.017890736, 'Degree Centrality': 4.0, 'Betweenness Centrality': 304461.7859259279}"
104.0,"{'Longitude': 1263233.93437834, 'Latitude': 233406.478499055, 'Degree Centrality': 4.0, 'Betweenness Centrality': 296235.9325824427}"
105.0,"{'Longitude': 1284175.52505578, 'Latitude': 256967.10431517696, 'Degree Centrality': 3.0, 'Betweenness Centrality': 670624.3253098138}"
106.0,"{'Longitude': 1284180.06182379, 'Latitude': 257310.038331524, 'Degree Centrality': 3.0, 'Betweenness Centrality': 686706.65030167}"
107.0,"{'Longitude': 1268687.03966393, 'Latitude': 176563.882920846, 'Degree Centrality': 4.0, 'Betweenness Centrality': 187453.8372536137}"
108.0,"{'Longitude': 1268326.00491154, 'Latitude': 176567.896360844, 'Degree Centrality': 3.0, 'Betweenness Centrality': 43764.27470489511}"
109.0,"{'Longitude': 1253666.65104054, 'Latitude': 238556.65130432, 'Degree Centrality': 4.0, 'Betweenness Centrality': 100936.54395748462}"
110.0,"{'Longitude': 1253514.05622438, 'Latitude': 238559.390120327, 'Degree Centrality': 3.0, 'Betweenness Centrality': 7078.228685625318}"
111.0,"{'Longitude': 1274047.4515094, 'Latitude': 210438.22855553, 'Degree Centrality': 1.0, 'Betweenness Centrality': 0.0}"
112.0,"{'Longitude': 1274103.81880547, 'Latitude': 210438.612683535, 'Degree Centrality': 4.0, 'Betweenness Centrality': 216581.10493126375}"
113.0,"{'Longitude': 1276913.66789635, 'Latitude': 256953.11122717, 'Degree Centrality': 4.0, 'Betweenness Centrality': 303706.73673156626}"
114.0,"{'Longitude': 1277566.93592902, 'Latitude': 256933.55941914, 'Degree Centrality': 3.0, 'Betweenness Centrality': 203942.80354597236}"
115.0,"{'Longitude': 1257852.12694882, 'Latitude': 251724.168245807, 'Degree Centrality': 4.0, 'Betweenness Centrality': 45171.76981279309}"
116.0,"{'Longitude': 1257580.66192454, 'Latitude': 251728.783733815, 'Degree Centrality': 4.0, 'Betweenness Centrality': 108979.80213470652}"
117.0,"{'Longitude': 1277229.24108067, 'Latitude': 265328.371011734, 'Degree Centrality': 1.0, 'Betweenness Centrality': 0.0}"
118.0,"{'Longitude': 1270481.88644975, 'Latitude': 169648.417697757, 'Degree Centrality': 4.0, 'Betweenness Centrality': 148765.59584353375}"
119.0,"{'Longitude': 1270458.24344173, 'Latitude': 168628.175008714, 'Degree Centrality': 3.0, 'Betweenness Centrality': 48933.7027604184}"
120.0,"{'Longitude': 1255234.32931414, 'Latitude': 208599.474313647, 'Degree Centrality': 4.0, 'Betweenness Centrality': 492997.92919151805}"
121.0,"{'Longitude': 1255208.59843412, 'Latitude': 207940.24071297, 'Degree Centrality': 4.0, 'Betweenness Centrality': 638791.6853269297}"
122.0,"{'Longitude': 1265867.78743704, 'Latitude': 272818.187787414, 'Degree Centrality': 3.0, 'Betweenness Centrality': 807627.3315860945}"
123.0,"{'Longitude': 1266470.73860565, 'Latitude': 272804.600203395, 'Degree Centrality': 4.0, 'Betweenness Centrality': 63260.71642231084}"
124.0,"{'Longitude': 1265927.25674909, 'Latitude': 170723.599266857, 'Degree Centrality': 4.0, 'Betweenness Centrality': 184976.43814816195}"
125.0,"{'Longitude': 1273840.2426132, 'Latitude': 190321.361590937, 'Degree Centrality': 3.0, 'Betweenness Centrality': 30422.804686102325}"
126.0,"{'Longitude': 1274132.9129495, 'Latitude': 190311.40856692204, 'Degree Centrality': 3.0, 'Betweenness Centrality': 162060.01412146672}"
127.0,"{'Longitude': 1269098.01617634, 'Latitude': 275415.660878062, 'Degree Centrality': 3.0, 'Betweenness Centrality': 26088.453781803484}"
128.0,"{'Longitude': 1269429.16446468, 'Latitude': 275409.54510206, 'Degree Centrality': 3.0, 'Betweenness Centrality': 11497.40640798215}"
129.0,"{'Longitude': 1293365.06900118, 'Latitude': 187098.91166763, 'Degree Centrality': 4.0, 'Betweenness Centrality': 9672.8748689488}"
130.0,"{'Longitude': 1263899.44983502, 'Latitude': 239306.09303309, 'Degree Centrality': 4.0, 'Betweenness Centrality': 1099958.719410019}"
131.0,"{'Longitude': 1263578.79197869, 'Latitude': 239310.656041101, 'Degree Centrality': 4.0, 'Betweenness Centrality': 515456.0374723163}"
132.0,"{'Longitude': 1286124.69273777, 'Latitude': 250469.927988529, 'Degree Centrality': 4.0, 'Betweenness Centrality': 290747.6631561032}"
133.0,"{'Longitude': 1286452.71635412, 'Latitude': 250462.30827651903, 'Degree Centrality': 3.0, 'Betweenness Centrality': 75306.04159280783}"
134.0,"{'Longitude': 1252895.25660774, 'Latitude': 241888.374955744, 'Degree Centrality': 3.0, 'Betweenness Centrality': 74984.99987793433}"
135.0,"{'Longitude': 1252630.71811147, 'Latitude': 241894.735147744, 'Degree Centrality': 4.0, 'Betweenness Centrality': 430650.2125405679}"
136.0,"{'Longitude': 1281508.38476504, 'Latitude': 224727.104474157, 'Degree Centrality': 3.0, 'Betweenness Centrality': 42547.61408008333}"
137.0,"{'Longitude': 1255906.26435483, 'Latitude': 206583.175879583, 'Degree Centrality': 3.0, 'Betweenness Centrality': 5512.035062309062}"
138.0,"{'Longitude': 1255893.83229081, 'Latitude': 206275.863815263, 'Degree Centrality': 3.0, 'Betweenness Centrality': 48119.05430052249}"
139.0,"{'Longitude': 1274282.36312565, 'Latitude': 262005.069952339, 'Degree Centrality': 4.0, 'Betweenness Centrality': 5903043.048509894}"
140.0,"{'Longitude': 1274287.39461365, 'Latitude': 263332.436417699, 'Degree Centrality': 4.0, 'Betweenness Centrality': 1401230.9181962842}"
141.0,"{'Longitude': 1271812.62360312, 'Latitude': 224388.446681812, 'Degree Centrality': 4.0, 'Betweenness Centrality': 870759.3895286116}"
142.0,"{'Longitude': 1272089.89438741, 'Latitude': 224552.525785983, 'Degree Centrality': 4.0, 'Betweenness Centrality': 762246.4745137074}"
143.0,"{'Longitude': 1277243.86668068, 'Latitude': 218532.477459818, 'Degree Centrality': 3.0, 'Betweenness Centrality': 78154.80086739195}"
144.0,"{'Longitude': 1277236.76600868, 'Latitude': 218106.060627386, 'Degree Centrality': 4.0, 'Betweenness Centrality': 481001.1417247084}"
145.0,"{'Longitude': 1253250.87664011, 'Latitude': 238026.825575784, 'Degree Centrality': 4.0, 'Betweenness Centrality': 385714.61951108015}"
146.0,"{'Longitude': 1253012.02505587, 'Latitude': 238977.303016752, 'Degree Centrality': 3.0, 'Betweenness Centrality': 435137.33126109815}"
147.0,"{'Longitude': 1249993.20105277, 'Latitude': 214783.617167979, 'Degree Centrality': 4.0, 'Betweenness Centrality': 7036983.328412765}"
148.0,"{'Longitude': 1249067.76489183, 'Latitude': 214423.403279617, 'Degree Centrality': 3.0, 'Betweenness Centrality': 2671057.463254893}"
149.0,"{'Longitude': 1266148.59358132, 'Latitude': 250294.497588351, 'Degree Centrality': 3.0, 'Betweenness Centrality': 225549.5614359305}"
150.0,"{'Longitude': 1266156.64676532, 'Latitude': 250609.36146067097, 'Degree Centrality': 3.0, 'Betweenness Centrality': 313110.87992124807}"
151.0,"{'Longitude': 1280661.65382019, 'Latitude': 181065.626861453, 'Degree Centrality': 4.0, 'Betweenness Centrality': 260985.91026632112}"
152.0,"{'Longitude': 1281077.1979486, 'Latitude': 181074.766573459, 'Degree Centrality': 4.0, 'Betweenness Centrality': 183462.851267999}"
153.0,"{'Longitude': 1264359.95677949, 'Latitude': 190435.671095043, 'Degree Centrality': 4.0, 'Betweenness Centrality': 573464.8422208934}"
154.0,"{'Longitude': 1284064.52723166, 'Latitude': 183615.953456059, 'Degree Centrality': 3.0, 'Betweenness Centrality': 15338.234734638863}"
155.0,"{'Longitude': 1284315.11270392, 'Latitude': 183605.35467205904, 'Degree Centrality': 3.0, 'Betweenness Centrality': 167.07063492063483}"
156.0,"{'Longitude': 1275724.35563913, 'Latitude': 273498.561420113, 'Degree Centrality': 3.0, 'Betweenness Centrality': 92716.60764770808}"
157.0,"{'Longitude': 1275724.35755913, 'Latitude': 273624.971596241, 'Degree Centrality': 3.0, 'Betweenness Centrality': 143457.59081545906}"
158.0,"{'Longitude': 1270425.5919217, 'Latitude': 277388.989008084, 'Degree Centrality': 4.0, 'Betweenness Centrality': 981665.9048461842}"
159.0,"{'Longitude': 1278738.71116221, 'Latitude': 175783.79357604697, 'Degree Centrality': 3.0, 'Betweenness Centrality': 83050.87686660221}"
160.0,"{'Longitude': 1278738.70949821, 'Latitude': 175420.741159678, 'Degree Centrality': 1.0, 'Betweenness Centrality': 0.0}"
161.0,"{'Longitude': 1280407.09036392, 'Latitude': 275046.280397683, 'Degree Centrality': 4.0, 'Betweenness Centrality': 383166.9927902471}"
162.0,"{'Longitude': 1280729.71046025, 'Latitude': 275034.756493673, 'Degree Centrality': 4.0, 'Betweenness Centrality': 89396.78985910518}"
163.0,"{'Longitude': 1264958.1405881, 'Latitude': 256952.308411166, 'Degree Centrality': 4.0, 'Betweenness Centrality': 210458.01637031545}"
164.0,"{'Longitude': 1265288.06122844, 'Latitude': 256943.776891157, 'Degree Centrality': 4.0, 'Betweenness Centrality': 102201.26749299724}"
165.0,"{'Longitude': 1259254.25437427, 'Latitude': 211145.917708263, 'Degree Centrality': 4.0, 'Betweenness Centrality': 535673.2701395082}"
166.0,"{'Longitude': 1258928.14480592, 'Latitude': 211153.105356261, 'Degree Centrality': 4.0, 'Betweenness Centrality': 778641.9309674106}"
167.0,"{'Longitude': 1267045.12235023, 'Latitude': 266826.329029277, 'Degree Centrality': 4.0, 'Betweenness Centrality': 56551.6104671421}"
168.0,"{'Longitude': 1267048.67582224, 'Latitude': 267157.805381611, 'Degree Centrality': 3.0, 'Betweenness Centrality': 10530.691680448024}"
169.0,"{'Longitude': 1268605.79934384, 'Latitude': 230121.900767684, 'Degree Centrality': 4.0, 'Betweenness Centrality': 169440.18131912115}"
170.0,"{'Longitude': 1268928.17694417, 'Latitude': 230113.763999686, 'Degree Centrality': 4.0, 'Betweenness Centrality': 184684.73670582063}"
171.0,"{'Longitude': 1256268.74326721, 'Latitude': 237184.078246921, 'Degree Centrality': 1.0, 'Betweenness Centrality': 0.0}"
172.0,"{'Longitude': 1256273.2337632, 'Latitude': 237345.089063078, 'Degree Centrality': 3.0, 'Betweenness Centrality': 44127.697774288376}"
173.0,"{'Longitude': 1266453.41284563, 'Latitude': 227664.082845166, 'Degree Centrality': 4.0, 'Betweenness Centrality': 111509.25609058209}"
174.0,"{'Longitude': 1266226.6938694, 'Latitude': 227870.505373389, 'Degree Centrality': 4.0, 'Betweenness Centrality': 156979.22343408663}"
175.0,"{'Longitude': 1255616.55824253, 'Latitude': 210587.041227683, 'Degree Centrality': 4.0, 'Betweenness Centrality': 562988.5010881383}"
176.0,"{'Longitude': 1255285.88995419, 'Latitude': 210598.314827695, 'Degree Centrality': 4.0, 'Betweenness Centrality': 526229.7729564062}"
177.0,"{'Longitude': 1268898.14552014, 'Latitude': 254213.515320361, 'Degree Centrality': 4.0, 'Betweenness Centrality': 3705480.947411525}"
178.0,"{'Longitude': 1268902.42276815, 'Latitude': 254477.183736622, 'Degree Centrality': 5.0, 'Betweenness Centrality': 646623.842571007}"
179.0,"{'Longitude': 1255407.24893032, 'Latitude': 258198.797372445, 'Degree Centrality': 4.0, 'Betweenness Centrality': 176218.55379537205}"
180.0,"{'Longitude': 1255079.59574598, 'Latitude': 258214.809788451, 'Degree Centrality': 1.0, 'Betweenness Centrality': 0.0}"
181.0,"{'Longitude': 1276301.07627971, 'Latitude': 265258.702851668, 'Degree Centrality': 4.0, 'Betweenness Centrality': 295111.48721672164}"
182.0,"{'Longitude': 1276632.77048805, 'Latitude': 265247.812803656, 'Degree Centrality': 3.0, 'Betweenness Centrality': 223405.7780543189}"
183.0,"{'Longitude': 1257392.51267636, 'Latitude': 241084.258090913, 'Degree Centrality': 4.0, 'Betweenness Centrality': 201939.17834014524}"
184.0,"{'Longitude': 1257396.05405235, 'Latitude': 241201.171243027, 'Degree Centrality': 3.0, 'Betweenness Centrality': 2071.96548324623}"
185.0,"{'Longitude': 1276780.9621042, 'Latitude': 267851.166214317, 'Degree Centrality': 3.0, 'Betweenness Centrality': 38318.19372460336}"
186.0,"{'Longitude': 1277212.38085665, 'Latitude': 267460.401541919, 'Degree Centrality': 3.0, 'Betweenness Centrality': 104339.59794147949}"
187.0,"{'Longitude': 1264704.14833184, 'Latitude': 249662.072947696, 'Degree Centrality': 4.0, 'Betweenness Centrality': 187530.6840556264}"
188.0,"{'Longitude': 1264455.25706759, 'Latitude': 249709.06501174, 'Degree Centrality': 4.0, 'Betweenness Centrality': 166613.56240000503}"
