Nodes Removed,Fraction of Nodes Removed,Core Proportion
151,0.00712364957305279,0.9918856441949332
152,0.00717082606029155,0.9918384677076945
153,0.007218002547530311,0.9917912912204557
154,0.007265179034769071,0.9916969382459782
155,0.0073123555220078315,0.9916497617587394
156,0.0073595320092465916,0.9916025852715007
157,0.007406708496485352,0.991555408784262
158,0.007453884983724112,0.9915082322970231
159,0.007501061470962872,0.9914610558097844
160,0.007548237958201632,0.9914138793225457
161,0.007595414445440393,0.9913667028353069
162,0.007642590932679153,0.9913195263480681
163,0.007689767419917913,0.9912251733735906
164,0.007736943907156673,0.9911779968863519
165,0.007784120394395433,0.991130820399113
166,0.007831296881634194,0.9910836439118743
167,0.007878473368872953,0.990942114450158
168,0.007925649856111714,0.9908949379629193
169,0.007972826343350474,0.9908477614756805
170,0.008020002830589235,0.990753408501203
171,0.008067179317827994,0.9907062320139642
172,0.008114355805066755,0.9906590555267255
173,0.008161532292305516,0.9906118790394867
174,0.008208708779544275,0.9905647025522479
175,0.008255885266783036,0.9905647025522479
176,0.008303061754021795,0.9905175260650092
177,0.008350238241260556,0.9904703495777705
178,0.008397414728499315,0.9904231730905316
179,0.008444591215738076,0.9903759966032929
180,0.008491767702976835,0.9903288201160542
181,0.008538944190215596,0.9902816436288154
182,0.008586120677454357,0.9902344671415766
183,0.008633297164693117,0.9901872906543379
184,0.008680473651931878,0.9901401141670991
185,0.008727650139170637,0.9900929376798604
186,0.008774826626409398,0.9899985847053828
187,0.008822003113648157,0.9899514082181441
188,0.008869179600886918,0.9899042317309054
189,0.008916356088125679,0.9898570552436665
190,0.008963532575364438,0.9898098787564278
191,0.009010709062603199,0.989762702269189
192,0.009057885549841958,0.9897155257819503
193,0.00910506203708072,0.9896683492947115
194,0.009152238524319478,0.9896211728074727
195,0.00919941501155824,0.989573996320234
196,0.009246591498797,0.9895268198329953
197,0.00929376798603576,0.9894796433457564
198,0.00934094447327452,0.9894324668585177
199,0.00938812096051328,0.989385290371279
200,0.00943529744775204,0.9893381138840402
201,0.0094824739349908,0.9892909373968014
202,0.009529650422229561,0.9892437609095627
203,0.00957682690946832,0.9891022314478464
204,0.009624003396707081,0.9890550549606076
205,0.009671179883945842,0.9890078784733689
206,0.009718356371184601,0.9889607019861301
207,0.009765532858423362,0.9889135254988913
208,0.009812709345662122,0.9888663490116526
209,0.009859885832900882,0.9888663490116526
210,0.009907062320139642,0.9880643487285937
211,0.009954238807378403,0.9880171722413549
212,0.010001415294617164,0.9879699957541161
213,0.010048591781855923,0.9879228192668774
214,0.010095768269094684,0.9878756427796386
215,0.010142944756333443,0.9878284662923998
216,0.010190121243572204,0.9877812898051611
217,0.010237297730810963,0.9877341133179224
218,0.010284474218049724,0.9876869368306835
219,0.010331650705288483,0.9876397603434448
220,0.010378827192527244,0.9874510543944898
221,0.010426003679766005,0.987403877907251
222,0.010473180167004765,0.9873567014200123
223,0.010520356654243525,0.9873095249327735
224,0.010567533141482285,0.9872623484455347
225,0.010614709628721046,0.987215171958296
226,0.010661886115959805,0.9871679954710573
227,0.010709062603198566,0.9871208189838184
228,0.010756239090437327,0.9870736424965797
229,0.010803415577676086,0.9869792895221022
230,0.010850592064914847,0.9869321130348634
231,0.010897768552153606,0.9868849365476247
232,0.010944945039392367,0.9868377600603859
233,0.010992121526631126,0.9867905835731472
234,0.011039298013869887,0.9867434070859084
235,0.011086474501108648,0.9866962305986696
236,0.011133650988347408,0.9866490541114309
237,0.011180827475586168,0.986601877624192
238,0.011228003962824928,0.9865075246497146
239,0.011275180450063689,0.9864603481624759
240,0.011322356937302448,0.986413171675237
241,0.011369533424541209,0.9863659951879983
242,0.011416709911779968,0.9863188187007595
243,0.011463886399018729,0.9862716422135208
244,0.01151106288625749,0.986224465726282
245,0.01155823937349625,0.9861772892390432
246,0.01160541586073501,0.9861301127518045
247,0.01165259234797377,0.9860829362645658
248,0.01169976883521253,0.9860357597773269
249,0.01174694532245129,0.9859885832900882
250,0.01179412180969005,0.9859414068028495
251,0.011841298296928812,0.9858942303156107
252,0.01188847478416757,0.9858470538283719
253,0.011935651271406332,0.9857998773411332
254,0.011982827758645091,0.9857527008538944
255,0.012030004245883852,0.9857055243666557
256,0.012077180733122611,0.9855639949049394
257,0.012124357220361372,0.9855168184177007
258,0.012171533707600131,0.9854696419304618
259,0.012218710194838892,0.9854224654432231
260,0.012265886682077653,0.9853752889559844
261,0.012313063169316412,0.9853281124687456
262,0.012360239656555173,0.9852809359815068
263,0.012407416143793933,0.9852337594942681
264,0.012454592631032694,0.9851394065197905
265,0.012501769118271453,0.9850922300325518
266,0.012548945605510214,0.985045053545313
267,0.012596122092748975,0.9849978770580743
268,0.012643298579987734,0.9849507005708354
269,0.012690475067226495,0.9849035240835967
270,0.012737651554465254,0.9847619946218804
271,0.012784828041704015,0.9847148181346417
272,0.012832004528942774,0.984667641647403
273,0.012879181016181535,0.9846204651601642
274,0.012926357503420294,0.9845732886729254
275,0.012973533990659055,0.9845261121856866
276,0.013020710477897816,0.9844789356984479
277,0.013067886965136576,0.9842902297494929
278,0.013115063452375337,0.9842430532622541
279,0.013162239939614096,0.9841958767750153
280,0.013209416426852857,0.9841487002877766
281,0.013256592914091616,0.9841015238005378
282,0.013303769401330377,0.9840543473132991
283,0.013350945888569138,0.9840071708260603
284,0.013398122375807897,0.9839599943388215
285,0.013445298863046658,0.9839128178515828
286,0.013492475350285417,0.9836297589281502
287,0.013539651837524178,0.9836297589281502
288,0.013586828324762937,0.9835825824409115
289,0.013634004812001698,0.9835354059536727
290,0.01368118129924046,0.9833467000047177
291,0.013728357786479219,0.9832995235174788
292,0.01377553427371798,0.9832523470302401
293,0.013822710760956739,0.9831579940557627
294,0.0138698872481955,0.9831108175685238
295,0.013917063735434259,0.9830636410812851
296,0.01396424022267302,0.9830164645940463
297,0.01401141670991178,0.9829692881068076
298,0.01405859319715054,0.9829221116195688
299,0.014105769684389301,0.98287493513233
300,0.01415294617162806,0.9828277586450913
301,0.014200122658866821,0.9827805821578526
302,0.01424729914610558,0.9827334056706137
303,0.014294475633344341,0.982686229183375
304,0.0143416521205831,0.9826390526961363
305,0.014388828607821862,0.9825918762088974
306,0.014436005095060623,0.9825446997216587
307,0.014483181582299382,0.98249752323442
308,0.014530358069538143,0.9824503467471812
309,0.014577534556776902,0.9824031702599424
310,0.014624711044015663,0.9823559937727037
311,0.014671887531254422,0.9823088172854649
312,0.014719064018493183,0.9822616407982262
313,0.014766240505731942,0.9822144643109874
314,0.014813416992970703,0.9821672878237486
315,0.014860593480209464,0.9819785818747936
316,0.014907769967448223,0.9819314053875549
317,0.014954946454686984,0.9818842289003161
318,0.015002122941925744,0.9817898759258386
319,0.015049299429164505,0.9817426994385998
320,0.015096475916403264,0.9815539934896448
321,0.015143652403642025,0.981506817002406
322,0.015190828890880786,0.9814596405151672
323,0.015238005378119545,0.9814124640279285
324,0.015285181865358306,0.9813652875406897
325,0.015332358352597065,0.981318111053451
326,0.015379534839835826,0.9812709345662122
327,0.015426711327074585,0.9812237580789734
328,0.015473887814313346,0.9811765815917347
329,0.015521064301552107,0.9811294051044959
330,0.015568240788790867,0.9810822286172571
331,0.015615417276029627,0.9810350521300184
332,0.01566259376326839,0.9809878756427797
333,0.015709770250507148,0.9809406991555408
334,0.015756946737745907,0.9808935226683021
335,0.015804123224984666,0.9807991696938246
336,0.01585129971222343,0.9806104637448696
337,0.015898476199462188,0.9805632872576308
338,0.015945652686700947,0.9804689342831533
339,0.01599282917393971,0.9804217577959146
340,0.01604000566117847,0.9804217577959146
341,0.01608718214841723,0.980327404821437
342,0.016134358635655988,0.9801858753597207
343,0.01618153512289475,0.980138698872482
344,0.01622871161013351,0.9800443458980045
345,0.01627588809737227,0.9799971694107656
346,0.01632306458461103,0.9799499929235269
347,0.01637024107184979,0.9798084634618106
348,0.01641741755908855,0.9798084634618106
349,0.01646459404632731,0.9797612869745719
