Source,Target,Attributes
168.0,612.0,{'Weight': 1.0}
168.0,26495.0,{'Weight': 1.0}
32936.0,26644.0,{'Weight': 1.0}
170.0,1826.0,{'Weight': 1.0}
174.0,16100.0,{'Weight': 1.0}
32943.0,26182.0,{'Weight': 1.0}
176.0,177.0,{'Weight': 1.0}
176.0,1744.0,{'Weight': 1.0}
176.0,34318.0,{'Weight': 1.0}
32945.0,31686.0,{'Weight': 1.0}
177.0,732.0,{'Weight': 1.0}
177.0,35330.0,{'Weight': 1.0}
179.0,9214.0,{'Weight': 1.0}
179.0,8494.0,{'Weight': 1.0}
179.0,12765.0,{'Weight': 1.0}
180.0,544.0,{'Weight': 1.0}
180.0,8972.0,{'Weight': 1.0}
180.0,11057.0,{'Weight': 1.0}
181.0,8271.0,{'Weight': 1.0}
181.0,24043.0,{'Weight': 1.0}
181.0,19969.0,{'Weight': 1.0}
178.0,23842.0,{'Weight': 1.0}
178.0,15120.0,{'Weight': 1.0}
178.0,936.0,{'Weight': 1.0}
32952.0,6766.0,{'Weight': 1.0}
186.0,3789.0,{'Weight': 1.0}
188.0,1198.0,{'Weight': 1.0}
188.0,3979.0,{'Weight': 1.0}
188.0,1119.0,{'Weight': 1.0}
189.0,3648.0,{'Weight': 1.0}
189.0,8020.0,{'Weight': 1.0}
189.0,1306.0,{'Weight': 1.0}
189.0,35537.0,{'Weight': 1.0}
32959.0,14078.0,{'Weight': 1.0}
191.0,17953.0,{'Weight': 1.0}
191.0,4926.0,{'Weight': 1.0}
191.0,17216.0,{'Weight': 1.0}
191.0,10277.0,{'Weight': 1.0}
194.0,7462.0,{'Weight': 1.0}
195.0,1682.0,{'Weight': 1.0}
32964.0,8918.0,{'Weight': 1.0}
196.0,197.0,{'Weight': 1.0}
196.0,4340.0,{'Weight': 1.0}
196.0,1957.0,{'Weight': 1.0}
196.0,212.0,{'Weight': 1.0}
198.0,20270.0,{'Weight': 1.0}
198.0,923.0,{'Weight': 1.0}
198.0,18219.0,{'Weight': 1.0}
32967.0,16332.0,{'Weight': 1.0}
200.0,201.0,{'Weight': 1.0}
201.0,8948.0,{'Weight': 1.0}
201.0,1465.0,{'Weight': 1.0}
32974.0,1861.0,{'Weight': 1.0}
32975.0,24044.0,{'Weight': 1.0}
207.0,1566.0,{'Weight': 1.0}
207.0,3481.0,{'Weight': 1.0}
207.0,21888.0,{'Weight': 1.0}
209.0,3870.0,{'Weight': 1.0}
209.0,12252.0,{'Weight': 1.0}
209.0,8947.0,{'Weight': 1.0}
32976.0,2843.0,{'Weight': 1.0}
211.0,4576.0,{'Weight': 1.0}
211.0,17531.0,{'Weight': 1.0}
211.0,22691.0,{'Weight': 1.0}
211.0,510.0,{'Weight': 1.0}
212.0,2787.0,{'Weight': 1.0}
212.0,10932.0,{'Weight': 1.0}
212.0,2220.0,{'Weight': 1.0}
212.0,1441.0,{'Weight': 1.0}
32980.0,18857.0,{'Weight': 1.0}
214.0,697.0,{'Weight': 1.0}
215.0,3870.0,{'Weight': 1.0}
32984.0,5861.0,{'Weight': 1.0}
32984.0,25594.0,{'Weight': 1.0}
32984.0,33230.0,{'Weight': 1.0}
219.0,1751.0,{'Weight': 1.0}
32989.0,20545.0,{'Weight': 1.0}
222.0,223.0,{'Weight': 1.0}
222.0,11570.0,{'Weight': 1.0}
222.0,27893.0,{'Weight': 1.0}
224.0,9195.0,{'Weight': 1.0}
224.0,8317.0,{'Weight': 1.0}
224.0,17834.0,{'Weight': 1.0}
224.0,9733.0,{'Weight': 1.0}
32990.0,7177.0,{'Weight': 1.0}
221.0,13030.0,{'Weight': 1.0}
221.0,7096.0,{'Weight': 1.0}
221.0,34424.0,{'Weight': 1.0}
32995.0,13616.0,{'Weight': 1.0}
32996.0,10925.0,{'Weight': 1.0}
229.0,6877.0,{'Weight': 1.0}
230.0,24752.0,{'Weight': 1.0}
230.0,28503.0,{'Weight': 1.0}
230.0,10698.0,{'Weight': 1.0}
32999.0,21160.0,{'Weight': 1.0}
32991.0,28742.0,{'Weight': 1.0}
33001.0,24563.0,{'Weight': 1.0}
234.0,4226.0,{'Weight': 1.0}
235.0,1771.0,{'Weight': 1.0}
235.0,414.0,{'Weight': 1.0}
235.0,3021.0,{'Weight': 1.0}
236.0,237.0,{'Weight': 1.0}
236.0,14477.0,{'Weight': 1.0}
236.0,8315.0,{'Weight': 1.0}
32998.0,10445.0,{'Weight': 1.0}
239.0,667.0,{'Weight': 1.0}
33008.0,20588.0,{'Weight': 1.0}
241.0,2751.0,{'Weight': 1.0}
48.0,3071.0,{'Weight': 1.0}
48.0,4283.0,{'Weight': 1.0}
48.0,3258.0,{'Weight': 1.0}
33012.0,10021.0,{'Weight': 1.0}
33012.0,22809.0,{'Weight': 1.0}
33012.0,24716.0,{'Weight': 1.0}
33012.0,37604.0,{'Weight': 1.0}
33013.0,18024.0,{'Weight': 1.0}
246.0,2092.0,{'Weight': 1.0}
246.0,2884.0,{'Weight': 1.0}
246.0,8458.0,{'Weight': 1.0}
246.0,15047.0,{'Weight': 1.0}
247.0,248.0,{'Weight': 1.0}
247.0,2265.0,{'Weight': 1.0}
247.0,12137.0,{'Weight': 1.0}
248.0,1264.0,{'Weight': 1.0}
248.0,10360.0,{'Weight': 1.0}
33016.0,6636.0,{'Weight': 1.0}
33016.0,31968.0,{'Weight': 1.0}
33016.0,37283.0,{'Weight': 1.0}
250.0,15562.0,{'Weight': 1.0}
251.0,589.0,{'Weight': 1.0}
251.0,1358.0,{'Weight': 1.0}
251.0,16072.0,{'Weight': 1.0}
252.0,253.0,{'Weight': 1.0}
253.0,2503.0,{'Weight': 1.0}
253.0,3228.0,{'Weight': 1.0}
254.0,1643.0,{'Weight': 1.0}
254.0,6844.0,{'Weight': 1.0}
254.0,18548.0,{'Weight': 1.0}
255.0,5221.0,{'Weight': 1.0}
255.0,3011.0,{'Weight': 1.0}
255.0,26176.0,{'Weight': 1.0}
257.0,14704.0,{'Weight': 1.0}
257.0,9176.0,{'Weight': 1.0}
257.0,29990.0,{'Weight': 1.0}
258.0,17499.0,{'Weight': 1.0}
33027.0,15479.0,{'Weight': 1.0}
262.0,14892.0,{'Weight': 1.0}
262.0,10871.0,{'Weight': 1.0}
262.0,37654.0,{'Weight': 1.0}
33031.0,14334.0,{'Weight': 1.0}
264.0,17064.0,{'Weight': 1.0}
266.0,3973.0,{'Weight': 1.0}
266.0,1223.0,{'Weight': 1.0}
266.0,6922.0,{'Weight': 1.0}
266.0,7856.0,{'Weight': 1.0}
33034.0,2093.0,{'Weight': 1.0}
33036.0,9316.0,{'Weight': 1.0}
33037.0,24842.0,{'Weight': 1.0}
268.0,3414.0,{'Weight': 1.0}
268.0,6011.0,{'Weight': 1.0}
268.0,13008.0,{'Weight': 1.0}
33039.0,11245.0,{'Weight': 1.0}
273.0,1913.0,{'Weight': 1.0}
273.0,11776.0,{'Weight': 1.0}
273.0,2134.0,{'Weight': 1.0}
273.0,35290.0,{'Weight': 1.0}
273.0,3388.0,{'Weight': 1.0}
273.0,8558.0,{'Weight': 1.0}
274.0,1299.0,{'Weight': 1.0}
274.0,1889.0,{'Weight': 1.0}
274.0,24050.0,{'Weight': 1.0}
275.0,1715.0,{'Weight': 1.0}
276.0,5046.0,{'Weight': 1.0}
276.0,5507.0,{'Weight': 1.0}
276.0,16191.0,{'Weight': 1.0}
276.0,16921.0,{'Weight': 1.0}
278.0,6610.0,{'Weight': 1.0}
