Node ID,Longitude,Latitude,Degree Centrality,Betweenness Centrality,Log Betweenness Centrality
2240.0,1264151.19044328,236151.361125857,3.0,83240.88736201737,11.329493940734476
2241.0,1264163.84004329,236593.919974312,4.0,192772.7571532624,12.169267350102356
6336.0,1262505.47197759,236398.903334111,4.0,175870.07694878426,12.077500802262493
13003.0,1263188.99127428,232365.496353984,4.0,3820273.091981853,15.155832468075072
7885.0,1260968.10167201,234889.665188566,2.0,46591.99999999999,10.749184131556358
7886.0,1260896.64151195,235097.41674079,1.0,0.0,
1232.0,1262803.79946589,235292.416036978,4.0,181723.76565407237,12.110243041946068
6871.0,1264202.73399533,233699.039587349,4.0,195389.3866076661,12.182749700880564
739.0,1262590.22244167,233422.622819066,4.0,52390.92040739234,10.866488580627259
8426.0,1263496.2268586,236379.484070092,4.0,201271.66121690572,12.212410822864683
1268.0,1263869.03844298,233283.75632292,2.0,86945.01698066625,11.37303120911969
1269.0,1263872.01156299,233390.008099034,4.0,105835.93327667571,11.569645374738812
6905.0,1264524.52663566,233690.302755341,4.0,264017.2561821348,12.483769744318566
11002.0,1264189.57226731,233223.842402861,2.0,52872.21207911263,10.875633188322313
11003.0,1264193.81207532,233382.028451025,4.0,172351.4107929103,12.057290757539072
3837.0,1263770.30865088,234391.032356054,3.0,48227.38592246523,10.78368231135497
7935.0,1264456.54845959,235259.94461295,4.0,493708.7661751137,13.109701080166111
2311.0,1264113.57405923,234823.892324507,4.0,518125.8624497095,13.15797346942946
9484.0,1264138.68650725,235708.689445406,4.0,134689.35647876345,11.81072634278624
14094.0,1261786.59837686,234426.50275608903,5.0,1804378.930781555,14.405727007869595
1298.0,1261484.55696854,235318.263077006,4.0,445374.2791785027,13.00667028444711
15637.0,1262479.29418556,232726.54288235295,3.0,2791222.925731224,14.841990382396215
17685.0,1261611.42026468,233862.765347525,3.0,152275.5410849689,11.933446929039162
20765.0,1264157.69764328,235709.129445404,1.0,0.0,
5408.0,1264100.95825122,234383.290532053,3.0,17301.80875647696,9.758566327418162
4899.0,1263195.3675303,232670.009186298,4.0,810510.365688681,13.605419409328006
4900.0,1263196.92989829,232772.858402401,3.0,381675.5392682591,12.852326153023233
9526.0,1262111.41072918,234862.996580541,4.0,114496.89549805812,11.648302988054775
14135.0,1262418.9809695,233977.294627637,3.0,47113.49507975401,10.760314758705567
5944.0,1263548.58794665,233085.213730723,3.0,1088932.3227041485,13.900708253706755
14136.0,1262127.3378972,233983.100067645,3.0,170691.53385368438,12.047613310913354
2874.0,1263241.26250634,233722.64649938,4.0,682574.8019493977,13.433627399961477
2875.0,1263248.60202634,234039.033059701,4.0,406172.4148804112,12.914533015631408
10553.0,1262445.53770553,233113.333410755,3.0,506734.18529792567,13.135741855732396
9527.0,1261971.97533704,234865.75773254,2.0,81.17921668750358,4.396659262281957
9023.0,1264515.77041164,233374.044515014,4.0,311102.0731690793,12.64787634685928
14144.0,1263826.77047494,236373.041190088,3.0,16699.530968847397,9.723135912312674
5441.0,1264533.37405966,234006.014051661,4.0,161245.33824206318,11.990682324113374
5442.0,1264211.66865134,234014.975971669,4.0,180205.24767118343,12.101851745104073
19267.0,1261792.49962486,235312.021284997,3.0,477943.0344965719,13.07724682967836
4936.0,1262459.96944955,234856.094052538,4.0,62623.13992939305,11.044890136219802
8012.0,1263452.04484256,234837.037028521,4.0,212940.2626409492,12.268766948271374
15182.0,1262532.31376962,234055.416227713,2.0,305.88061094975234,5.723194865525123
13138.0,1262414.0767775,233742.6881634,3.0,91701.52334024003,11.426294270322932
15188.0,1262088.88292116,233122.686114758,4.0,260624.82816881387,12.470837212230673
19798.0,1261139.40285619,234360.973028034,1.0,0.0,
19799.0,1261139.92151219,234439.246116102,3.0,53601.26068893574,10.88932786709826
19803.0,1261293.12068035,234024.549475685,2.0,1157.0309124791534,7.053612444623412
19804.0,1261290.77885635,234436.309476107,3.0,86398.11764302033,11.366721168015701
3440.0,1262156.14391322,235747.644773453,4.0,176582.56516941526,12.081543837303368
11121.0,1262089.71882516,233983.848739639,3.0,178093.43746914854,12.090063621148833
11122.0,1261777.41764085,233989.799843654,4.0,2047972.178507947,14.532360680336346
3957.0,1262604.73092169,234053.778403714,4.0,160887.6806808291,11.988461764982901
3958.0,1262613.12528969,234416.47158809,3.0,73698.32895959936,11.207735404373558
6521.0,1261785.48944885,234869.433572546,3.0,791896.9765892681,13.582186582271362
9597.0,1264431.57277957,234376.262692049,3.0,23412.540027978,10.06102705643494
9598.0,1264221.75594735,234380.578916043,3.0,64626.15134019819,11.076374427361095
19327.0,1261439.0817045,233636.93603529,1.0,0.0,
10634.0,1264126.12388325,235266.286180958,3.0,486200.06952592207,13.094375483862756
911.0,1263578.99997869,234394.894180059,3.0,148432.78604342023,11.907887515525658
912.0,1263439.52913055,234398.00310806895,3.0,86758.64369157332,11.370885331941407
11154.0,1261447.48292051,233996.231907651,4.0,88454.98274572298,11.390249032039929
11155.0,1261450.13648851,234122.783523783,3.0,8800.056845295887,9.082513460138149
2967.0,1263833.24817094,236600.54397432497,3.0,50208.08756896989,10.82393139965508
5527.0,1264854.49156399,233996.723427653,3.0,1900142.6940381331,14.457439543441978
11166.0,1262096.19850516,234420.374820083,4.0,145431.275607705,11.887458921416414
16294.0,1262059.49053714,233123.025698766,3.0,1177642.6311229467,13.979025228002355
9639.0,1262393.57815348,235742.888869449,2.0,3790.20451614052,8.240175258662926
6063.0,1262132.02877721,235317.242405012,4.0,189167.18942661723,12.150386503154492
6064.0,1261836.73802491,235311.395941004,3.0,405487.0199749636,12.91284414209917
3506.0,1263880.903595,233707.778147355,4.0,112130.40368239222,11.627417791576798
3507.0,1263563.93207467,233715.145891368,4.0,484861.2668370438,13.091618081241483
12731.0,1263515.22353062,237049.556518778,4.0,229710.1350966636,12.344573510893445
4544.0,1264512.13002764,233243.455906883,2.0,8513.090608940824,9.049360329424363
9664.0,1261142.77386419,234882.207204565,4.0,225450.6286436301,12.325856472240242
13251.0,1262118.33098519,232940.699298576,4.0,2746888.3176484164,14.82597930813459
15816.0,1261457.05968851,234432.967588097,4.0,423709.6982663416,12.95680382581774
14282.0,1262075.46231315,233544.8164832,3.0,75981.50632027042,11.238245251765822
4556.0,1262919.17911401,233730.451299384,4.0,282158.8627863961,12.550225534516201
10703.0,1263257.03114636,234402.112996072,3.0,171221.67790735525,12.050714357964353
