Node ID,Longitude,Latitude,Degree Centrality,Betweenness Centrality,Log Betweenness Centrality
4375.0,1255920.72496285,236506.309606224,3.0,86178.8833567554,11.36418045398163
5916.0,1255222.62563413,234816.604004502,3.0,59569.337177180685,10.994896243771853
5917.0,1255228.90480214,235086.517476767,4.0,2511.096897538144,7.828474947635718
12586.0,1254869.04694577,235089.029284775,3.0,100238.47824188884,11.515307408308354
13110.0,1255275.22230619,236932.922918662,3.0,39144.8566515073,10.575024317348014
19766.0,1256599.21046755,237162.446054891,3.0,4316.1149624605,8.370110962367237
10552.0,1253984.91024086,237815.162919566,3.0,79975.8885514517,11.289480475121135
10551.0,1255882.63056281,235081.95485276,3.0,36341.52350003373,10.5007162645726
17733.0,1256314.20054725,235552.055589244,3.0,61202.18812695475,11.02193822156968
9030.0,1257273.87613223,237746.61648750296,3.0,54155.84660747297,10.899621217191184
12112.0,1254875.22275378,235348.94480504104,3.0,45745.43787887436,10.730847347236898
5468.0,1256903.26365185,236230.781925946,4.0,78301.25057767719,11.268318853469193
5469.0,1256571.84502751,236234.698597953,4.0,65774.71055418543,11.09399070535431
15202.0,1256533.47734748,237760.04989551,2.0,1711.511561297838,7.445132213014815
7524.0,1256604.72521955,237339.107111081,4.0,111986.11199454394,11.626130142539875
4459.0,1255247.74563415,235873.693733573,4.0,46687.42100802928,10.751230049943981
5999.0,1256945.56867589,237752.569255501,4.0,65603.0625793999,11.091377659504023
387.0,1255252.56944217,236153.93891786,3.0,11658.997754155838,9.363833500305761
388.0,1255269.04157017,236553.273766279,4.0,31021.29329522536,10.342429128163989
1415.0,1254637.09756953,237568.476135314,3.0,15027.645867894114,9.617646841596809
1416.0,1254319.1589452,237574.144743323,3.0,4477.349942107311,8.406786619606057
10639.0,1255241.39069015,235606.267429307,4.0,4991.576973536771,8.515507165580502
923.0,1255588.8971865,235084.005668774,4.0,27650.932191330496,10.227414720354348
924.0,1255594.94441852,235343.924133033,4.0,138324.44995226932,11.837357291270202
7582.0,1255218.64566612,236659.415270388,3.0,56131.36416856426,10.935450011374465
15263.0,1257040.38346,236489.064550206,4.0,102658.0828225717,11.53915916092113
6061.0,1254004.92860888,238550.580456316,4.0,78588.87900352177,11.271985479902042
14253.0,1255875.76899479,234812.04266049,3.0,133607.95617367962,11.802665090509722
6583.0,1254975.47516988,236543.080166265,4.0,98335.57167407032,11.496141109181934
13250.0,1255970.1001949,238190.789159954,3.0,110151.67530266906,11.60961356139916
14278.0,1254190.62966508,238547.247080311,1.0,0.0,
6096.0,1253359.91478422,239224.950505003,4.0,107161.1272815553,11.582088843214592
6097.0,1253279.13801613,239224.702761009,1.0,0.0,
13780.0,1254630.83254552,237388.821607128,3.0,68248.59467571908,11.130912122003258
13781.0,1254312.8869452,237394.240231141,3.0,32564.444539314634,10.390976313850986
15846.0,1255910.39888284,236146.458597854,3.0,35326.15881481393,10.472379011397235
15336.0,1254958.32073785,237207.698598951,4.0,110237.31543693524,11.61039073396381
13290.0,1255074.01795398,234843.659684524,1.0,0.0,
