node_id,community_id
854,0
12122,0
13148,0
13149,0
4958,0
4959,0
18276,0
9061,0
9062,0
6005,0
7043,0
6022,0
6023,0
14224,0
9105,0
14228,0
2980,0
7076,0
7077,0
11175,0
12203,0
5037,0
8115,0
8116,0
14263,0
5048,0
5049,0
8123,0
11201,0
11202,0
962,0
964,0
963,0
6099,0
7136,0
998,0
999,0
4080,0
13299,0
11252,0
7156,0
7157,0
7159,0
7160,0
20474,0
1020,0
1021,0
16385,3
19466,3
16401,3
11288,3
15394,3
15397,3
15398,3
11310,3
11317,3
19514,3
8252,3
8253,3
19520,3
19521,3
5184,3
12355,3
16451,3
14404,3
14405,3
17476,3
17480,3
17481,3
17482,3
17484,3
8268,3
19544,3
15451,3
15452,3
17502,3
17503,3
17504,3
19554,3
13410,3
15458,3
19565,3
15472,3
19570,3
19587,3
7299,3
5254,3
5255,3
12426,3
17551,3
16529,3
13473,3
15548,3
15549,3
14535,3
12497,3
16598,3
16599,3
16601,3
16600,3
13531,3
4317,3
4318,3
5345,3
5346,3
12536,3
3323,3
16641,3
16642,3
9479,3
20743,3
15627,3
19725,3
16654,3
15631,3
8464,3
8463,3
19726,3
8468,3
6424,3
6425,3
15643,3
4383,3
15656,3
7468,3
7469,3
17709,3
5424,3
15670,3
15672,3
15673,3
16701,3
17730,3
17741,3
16720,3
12627,3
1379,3
1380,3
14693,3
358,3
359,3
6502,3
16748,3
16749,3
17777,3
16759,3
12676,3
17801,3
1420,3
17805,3
17806,3
12688,3
12689,3
5523,3
10653,3
10654,3
3485,3
3486,3
6560,3
6561,3
2464,3
2465,3
17830,3
17832,3
5550,3
5551,3
17839,3
12725,3
13757,3
13758,3
446,3
447,3
13775,3
2513,3
2514,3
15835,3
16867,3
16868,3
10725,3
11757,3
11758,3
15856,3
15853,3
20979,3
15861,3
16887,3
17918,3
17919,3
13834,3
15889,3
11800,3
17945,3
11801,3
11821,3
11822,3
6706,3
10803,3
6707,3
20034,3
20036,3
20037,3
14918,3
20039,3
12875,3
7758,3
7759,3
13906,3
3671,3
3672,3
14941,3
16994,3
1635,3
1636,3
5734,3
5735,3
6757,3
19077,3
19078,3
16005,3
16006,3
11912,3
17037,3
3726,3
3725,3
3733,3
3734,3
667,3
11935,3
11937,3
17059,3
18087,3
17064,3
11944,3
18098,3
17076,3
14012,3
6862,3
17104,3
1751,3
1752,3
19161,3
20192,3
20194,3
14063,3
14064,3
19194,3
14077,3
12042,3
12043,3
13075,3
13076,3
6934,3
6935,3
18202,3
14110,3
17190,3
18224,3
18225,3
10037,3
10038,3
16190,3
16191,3
18246,3
16202,3
1869,3
1870,3
8016,3
8017,3
12117,3
13152,3
14187,3
13170,3
19319,3
16248,3
19320,3
17276,3
14210,3
18320,3
17303,3
8100,3
8101,3
20408,3
14265,3
13247,3
13248,3
20415,3
7117,3
20434,3
20436,3
19413,3
19417,3
16345,3
987,3
988,3
1004,3
2033,3
14329,3
14330,3
16381,3
16382,3
8201,4
12298,4
7179,4
8202,4
9236,4
8215,4
8216,4
5146,4
16419,4
11300,4
11301,4
1062,4
1063,4
8238,4
14390,4
4151,4
4152,4
6205,4
8254,4
8255,4
4161,4
8259,4
8260,4
14416,4
3156,4
3157,4
13396,4
6231,4
10330,4
10332,4
13405,4
3166,4
3167,4
7283,4
3191,4
1148,4
1149,4
12416,4
12432,4
9364,4
8340,4
11413,4
9367,4
3224,4
16537,4
3234,4
5283,4
5284,4
5288,4
5289,4
9389,4
6320,4
9401,4
9403,4
3262,4
3263,4
12480,4
9411,4
9412,4
20690,4
20691,4
1236,4
1237,4
13530,4
2270,4
2271,4
16632,4
17668,4
11539,4
13593,4
12579,4
7459,4
11556,4
11557,4
17705,4
5422,4
8503,4
12606,4
3403,4
3404,4
5453,4
3406,4
20812,4
16735,4
2403,4
2404,4
10597,4
362,4
363,4
11630,4
4463,4
4464,4
6511,4
4466,4
4469,4
4470,4
1398,4
1399,4
16765,4
5501,4
5502,4
9605,4
14731,4
7566,4
8598,4
6554,4
3483,4
3484,4
10650,4
2462,4
2463,4
10662,4
9639,4
4532,4
4533,4
7609,4
1466,4
1467,4
10691,4
3527,4
3529,4
16845,4
7635,4
17879,4
7646,4
12771,4
13802,4
2540,4
5618,4
5625,4
5626,4
4606,4
14846,4
10766,4
11792,4
13842,4
6681,4
6682,4
4642,4
4643,4
5680,4
12861,4
7744,4
14914,4
7763,4
13912,4
12894,4
1652,4
1653,4
5757,4
1662,4
1663,4
639,4
17032,4
5769,4
5768,4
8848,4
5780,4
5781,4
10905,4
17058,4
13987,4
5796,4
2726,4
3755,4
7860,4
4792,4
4793,4
7866,4
9917,4
10942,4
4799,4
9918,4
8905,4
17101,4
1749,4
1750,4
11990,4
4829,4
13041,4
2807,4
2808,4
768,4
769,4
6915,4
6916,4
11024,4
2839,4
10009,4
15131,4
1823,4
1824,4
801,4
802,4
7973,4
7974,4
5930,4
5931,4
13099,4
18226,4
18227,4
2868,4
11061,4
18229,4
18237,4
18238,4
18244,4
2886,4
15185,4
11090,4
12120,4
15192,4
4956,4
14179,4
13162,4
3955,4
1923,4
1924,4
901,4
12166,4
7046,4
7047,4
902,4
4997,4
7051,4
5007,4
5008,4
2967,4
12193,4
13221,4
4005,4
7089,4
13242,4
8124,4
1982,4
1983,4
3007,4
3008,4
967,4
8136,4
8137,4
8135,4
968,4
12240,4
12241,4
8149,4
6108,4
3042,4
7140,4
7141,4
7142,4
1011,4
9212,4
9213,4
9214,4
10243,5
10244,5
3077,5
3078,5
10780,5
13345,5
8738,5
11811,5
11812,5
2086,5
2087,5
2090,5
1070,5
1071,5
19010,5
73,5
12361,5
74,5
5710,5
5711,5
14420,5
4695,5
3163,5
2653,5
7774,5
2654,5
2155,5
3179,5
6254,5
11887,5
6255,5
20600,5
14972,5
3722,5
13457,5
11418,5
5278,5
5279,5
11943,5
19114,5
1710,5
1208,5
1209,5
720,5
721,5
19155,5
11992,5
6873,5
6874,5
2267,5
9950,5
17634,5
14581,5
6401,5
8967,5
5898,5
11019,5
2828,5
2829,5
11031,5
8983,5
1304,5
1305,5
15132,5
796,5
797,5
12572,5
7462,5
4398,5
10546,5
13116,5
6464,5
6465,5
9541,5
1359,5
1360,5
3408,5
3409,5
14675,5
13660,5
14689,5
3437,5
5998,5
11633,5
7028,5
7029,5
4478,5
6031,5
8088,5
16808,5
1453,5
1454,5
3000,5
8121,5
8122,5
3001,5
5570,5
5571,5
17863,5
2006,5
2007,5
11231,5
20448,5
8673,5
3555,5
3556,5
20453,5
20459,5
16364,5
20460,5
13293,5
10224,5
14834,5
20981,5
9725,5
6144,6
10247,6
16412,6
2082,6
2083,6
14372,6
4143,6
6195,6
16439,6
14406,6
14409,6
77,6
78,6
4179,6
2133,6
2134,6
2135,6
2136,6
4187,6
4188,6
2143,6
2144,6
16482,6
10339,6
8299,6
2156,6
2157,6
10362,6
10364,6
16509,6
10365,6
20609,6
20612,6
20613,6
4232,6
6299,6
16542,6
16543,6
4259,6
4260,6
10404,6
10409,6
14510,6
14511,6
4278,6
4279,6
12477,6
2242,6
2243,6
2246,6
2247,6
6344,6
210,6
211,6
2265,6
2266,6
4313,6
16603,6
12509,6
12515,6
2277,6
2278,6
20713,6
6378,6
8427,6
6379,6
16620,6
16621,6
4334,6
4335,6
10481,6
12533,6
4348,6
16645,6
10502,6
2317,6
10510,6
2318,6
6416,6
16659,6
6441,6
6442,6
12593,6
12594,6
10552,6
10553,6
8506,6
314,6
315,6
20799,6
20800,6
20802,6
10582,6
10587,6
4448,6
4449,6
8546,6
8547,6
8550,6
8551,6
6506,6
6507,6
8557,6
16758,6
10619,6
12669,6
6527,6
4479,6
12673,6
4481,6
4482,6
4480,6
12677,6
12678,6
394,6
395,6
4504,6
4505,6
411,6
412,6
12700,6
8612,6
8613,6
14760,6
6570,6
6571,6
6575,6
6576,6
4536,6
4537,6
2491,6
14782,6
14783,6
16830,6
8648,6
10697,6
8649,6
10702,6
4566,6
16857,6
6617,6
6618,6
4588,6
6641,6
10749,6
8701,6
8702,6
6654,6
20993,6
16898,6
20994,6
20995,6
6655,6
16906,6
21010,6
2580,6
2581,6
6680,6
4649,6
4650,6
4651,6
4652,6
14892,6
14896,6
10800,6
8756,6
565,6
566,6
10806,6
16952,6
10813,6
10814,6
8768,6
8769,6
14916,6
16965,6
19014,6
14919,6
2634,6
6731,6
6732,6
12880,6
594,6
12883,6
20471,6
16982,6
20473,6
10854,6
14958,6
17007,6
14959,6
6770,6
6771,6
628,6
629,6
630,6
631,6
2685,6
2686,6
19072,6
10881,6
6786,6
10893,6
12951,6
12952,6
663,6
664,6
17049,6
6814,6
6815,6
6816,6
17060,6
15019,6
17068,6
8877,6
8886,6
12983,6
8887,6
697,6
8889,6
8890,6
21188,6
15047,6
15048,6
15053,6
2779,6
2780,6
6878,6
10976,6
10977,6
2791,6
2792,6
10995,6
10996,6
15100,6
15101,6
8959,6
4867,6
4868,6
779,6
780,6
11021,6
11022,6
19214,6
19211,6
11020,6
19212,6
2850,6
2851,6
13095,6
6954,6
2864,6
9012,6
11065,6
11066,6
6970,6
6971,6
9026,6
19267,6
4933,6
4934,6
19274,6
2898,6
2899,6
2902,6
2903,6
11094,6
11096,6
2916,6
9064,6
11114,6
15217,6
887,6
13180,6
15236,6
9092,6
9094,6
9095,6
15237,6
17293,6
15249,6
15250,6
15252,6
15261,6
5025,6
5026,6
15266,6
15267,6
15269,6
15270,6
15271,6
7075,6
15272,6
15275,6
15276,6
15277,6
15278,6
15280,6
951,6
952,6
15290,6
15295,6
15301,6
3020,6
3021,6
15310,6
19407,6
19408,6
19409,6
19410,6
19415,6
13272,6
15321,6
3043,6
3044,6
11239,6
19433,6
11242,6
11256,6
19449,6
15354,6
7163,6
15356,6
13309,6
15357,6
7164,6
15360,6
7165,6
13310,6
11267,6
15359,6
9221,6
15366,6
11294,6
9246,6
15407,6
