node_id,community_id
12965,1
7845,1
10919,1
1709,1
2736,1
2737,1
1717,1
1718,1
17087,1
7882,1
17103,1
9939,1
8916,1
8917,1
3804,1
3810,1
17123,1
3811,1
4835,1
12006,1
10981,1
7911,1
2793,1
2794,1
2801,1
2802,1
7923,1
1781,1
7931,1
11006,1
13058,1
15107,1
3847,1
2824,1
2825,1
4875,1
14095,1
8979,1
12052,1
790,1
791,1
12055,1
14123,1
813,1
3889,1
3890,1
13115,1
4924,1
2884,1
2885,1
5963,1
11085,1
6990,1
18255,1
2896,1
2897,1
14162,1
14163,1
18254,1
18260,1
855,1
856,1
5978,1
1882,1
1883,1
10085,1
7015,1
7016,1
13161,1
4970,1
4971,1
20336,1
13169,1
8050,1
8051,1
2929,1
2930,1
10099,1
11126,1
888,1
8054,1
891,1
10110,1
3969,1
3970,1
14217,1
12170,1
17297,1
12183,1
6046,1
6047,1
6048,1
1953,1
1954,1
6049,1
14247,1
14249,1
10158,1
943,1
944,1
12209,1
13234,1
16312,1
13241,1
16314,1
16319,1
12228,1
6085,1
6086,1
8140,1
6093,1
5072,1
5073,1
5082,1
19419,1
19420,1
5083,1
9180,1
10209,1
2029,1
2030,1
6127,1
12272,1
6128,1
13295,1
2037,1
2038,1
8181,1
8184,1
12300,2
20505,2
16423,2
12337,2
12338,2
10307,2
10308,2
6240,2
6241,2
20580,2
18561,2
10373,2
169,2
170,2
10410,2
10411,2
20656,2
14525,2
20669,2
20670,2
204,2
205,2
16604,2
20700,2
8420,2
20716,2
20725,2
16635,2
2309,2
2310,2
10507,2
14604,2
20751,2
4377,2
12574,2
12575,2
8482,2
12589,2
12599,2
10566,2
16710,2
8534,2
8535,2
20826,2
2397,2
2398,2
16752,2
16761,2
12668,2
6540,2
6541,2
6550,2
6563,2
6564,2
16805,2
8620,2
20912,2
20913,2
14775,2
6585,2
6586,2
2494,2
10687,2
16835,2
16842,2
8656,2
8657,2
16873,2
12786,2
506,2
507,2
8722,2
8723,2
6697,2
6698,2
12851,2
16951,2
19000,2
14905,2
10811,2
16959,2
10831,2
14931,2
14932,2
12886,2
14938,2
16987,2
14939,2
16988,2
14944,2
608,2
609,2
14947,2
16998,2
2671,2
2672,2
14961,2
12914,2
12915,2
19080,2
4744,2
4745,2
21136,2
6813,2
21162,2
21163,2
10926,2
4782,2
6835,2
6836,2
702,2
15043,2
6867,2
6870,2
8919,2
2778,2
13019,2
17121,2
17122,2
17126,2
17127,2
19184,2
19188,2
772,2
773,2
15124,2
19228,2
19229,2
19235,2
19238,2
17192,2
19244,2
