source,target,distance_ft,edge_type
P_298,T_7763,22.176423607402825,power_to_transport
P_299,T_13961,46.241352462579066,power_to_transport
P_300,T_13961,50.27932531808585,power_to_transport
P_33061,T_8837,52.78211736628423,power_to_transport
P_33070,T_8575,27.938142097286864,power_to_transport
P_303,T_7135,17.69057020211065,power_to_transport
P_295,T_4617,113.85935821434235,power_to_transport
P_305,T_7874,20.300484648233336,power_to_transport
P_33074,T_15810,124.97011080675648,power_to_transport
P_309,T_9122,44.09619250408388,power_to_transport
P_33078,T_716,52.529534658512645,power_to_transport
P_33079,T_5941,30.970006578234983,power_to_transport
P_33080,T_15282,219.92244125085068,power_to_transport
P_313,T_6734,127.62889818007903,power_to_transport
P_315,T_258,284.9091931589968,power_to_transport
P_316,T_14224,135.99614956582337,power_to_transport
P_33085,T_14280,107.83242702356021,power_to_transport
P_318,T_9105,156.10811103500802,power_to_transport
P_317,T_14224,146.38564914802325,power_to_transport
P_320,T_13226,21.416434985655698,power_to_transport
P_33089,T_6806,32.11566213551952,power_to_transport
P_33090,T_12600,152.05961977813703,power_to_transport
P_33092,T_6907,228.22602910603715,power_to_transport
P_326,T_12304,215.60178154097486,power_to_transport
P_33095,T_14314,31.815755273490627,power_to_transport
P_33094,T_8442,27.08691796661362,power_to_transport
P_330,T_15560,21.154726196929087,power_to_transport
P_331,T_4590,24.652857936927987,power_to_transport
P_332,T_14283,152.23085856471312,power_to_transport
P_33100,T_8873,15.105496770733263,power_to_transport
P_33101,T_3380,160.11477360778537,power_to_transport
P_33104,T_8419,125.928690152693,power_to_transport
P_337,T_12600,283.9222489681553,power_to_transport
P_33107,T_1889,232.9472266112976,power_to_transport
P_341,T_6046,20.366976744864363,power_to_transport
P_33109,T_10262,181.33019518595714,power_to_transport
P_33111,T_10101,127.32312820359896,power_to_transport
P_347,T_3735,78.97475956390035,power_to_transport
P_348,T_6509,17.74541917654189,power_to_transport
P_349,T_2390,180.6772080488875,power_to_transport
P_33117,T_16108,67.42457258488334,power_to_transport
P_351,T_2463,202.25006810595949,power_to_transport
P_350,T_18980,75.95416282458594,power_to_transport
P_33124,T_14958,45.9895722673316,power_to_transport
P_33126,T_10184,442.11769067857637,power_to_transport
P_358,T_1543,25.7075388452746,power_to_transport
P_33128,T_14817,36.7050943469105,power_to_transport
P_33131,T_12943,209.11463573173899,power_to_transport
P_364,T_11465,177.12693389373408,power_to_transport
P_365,T_17110,157.7357498920728,power_to_transport
P_33134,T_1837,177.7494510335673,power_to_transport
P_33135,T_6833,110.84986544863118,power_to_transport
P_33137,T_7405,53.22568873156294,power_to_transport
P_369,T_11251,73.8889991034699,power_to_transport
P_371,T_4022,145.66076203365867,power_to_transport
P_372,T_4022,172.94336768355606,power_to_transport
P_33141,T_333,230.8757613993465,power_to_transport
P_374,T_10188,21.440865939960833,power_to_transport
P_373,T_6734,220.2270050151805,power_to_transport
P_33144,T_12655,34.18521071733356,power_to_transport
P_33145,T_12118,78.29711515937586,power_to_transport
P_375,T_17387,115.55450705451068,power_to_transport
P_376,T_1990,17.379103251690697,power_to_transport
P_33148,T_15597,201.0094985959501,power_to_transport
P_380,T_20677,141.04540325071196,power_to_transport
P_33143,T_11737,53.22880009968055,power_to_transport
P_33151,T_8921,107.25532388503511,power_to_transport
P_385,T_2394,157.92306927274123,power_to_transport
P_33155,T_3724,59.44947006500909,power_to_transport
P_33156,T_18115,71.10801946590276,power_to_transport
P_389,T_6473,134.05532373939616,power_to_transport
P_390,T_1976,28.706645808419857,power_to_transport
P_391,T_85,93.608636808331,power_to_transport
P_388,T_13531,35.44872770374904,power_to_transport
P_33161,T_2958,107.20448774891419,power_to_transport
P_394,T_16913,105.09256988977607,power_to_transport
P_395,T_16913,49.10731355200272,power_to_transport
P_393,T_11539,152.86386442581698,power_to_transport
P_33163,T_1185,89.74196348030418,power_to_transport
P_398,T_2370,28.480709237043023,power_to_transport
