node_id,longitude,latitude
597,1281492.60358103,282971.8610138
600,1273759.12856512,280611.230547383
610,1272871.12837221,253435.45522356
618,1278199.49733765,246301.03870426104
619,1278522.01701799,246290.46782425
628,1287188.88192287,205128.448134094
635,1289324.94458105,187212.033203751
642,1266929.15435012,279078.479057819
645,1284189.3688958,169761.48668988
647,1278152.40389761,180077.18065243997
648,1278350.36056982,180073.398828432
649,1266618.9636938,285402.500824302
650,1266619.0808778,285702.220376596
656,1267824.36548704,285716.033368617
657,1275640.79410304,218148.40174742
659,1282322.37817389,173797.534118012
663,1285346.42560098,200220.971073076
670,1260848.00643989,281416.374612212
678,1293051.30554487,180971.592877358
679,1291383.50048716,181117.57521350696
682,1280626.61913215,168590.222624674
683,1265526.31562868,284858.609559745
696,1281312.99730885,221937.069399312
715,1271750.57419506,271577.314570144
717,1280478.114492,216851.229458094
730,1270240.6051055,204402.853125349
736,1277818.68344927,281510.510932311
741,1266619.2927818,285111.763543993
744,1258118.0854131,286399.144537315
745,1258119.3875571,286631.540057555
746,1270425.1569137,277103.426575795
749,1252819.08873567,239216.368168995
757,1279697.2616912,216987.514962241
759,1282494.03699006,276781.163087472
760,1282629.7023982,276703.634703383
764,1274693.72216608,279596.341842353
771,1270986.61150627,187103.556019634
774,1274799.88242218,279553.565010309
781,1262259.87728934,171748.812451914
782,1261992.75844106,171765.776675925
785,1281985.81062153,281618.050708413
792,1262097.13354518,281419.435348213
802,1282219.40364577,256730.659898937
807,1281644.54687719,243837.773613736
808,1281654.06194919,244087.396781996
809,1277887.51730534,278840.425041571
811,1284212.34060782,282273.317461088
812,1284162.13727976,282761.707925588
815,1286689.02035436,196076.562684819
816,1289825.89402157,184048.126768515
820,1271910.90981121,176214.411176488
821,1263319.25476243,280190.243538961
823,1273029.14674036,194345.72300306
829,1254647.97910555,257051.33381927
832,1274402.61054978,272587.987403169
838,1295729.04135561,182541.39620696
850,1254231.45308912,250710.786740765
859,1271791.2407551,241815.48727566
860,1271803.53963511,242245.374252096
866,1280744.35314827,285668.829400569
867,1281075.98700461,285660.273624554
874,1270290.9661935605,230496.06704007095
876,1266805.473518,241235.02685907495
883,1258317.1066613,200702.649601564
897,1254644.40464154,245149.72830307495
910,1292074.88557586,182675.968111098
912,1261069.06538412,189463.409270048
920,1280294.39634781,247934.995057926
929,1276619.54348004,231258.776480854
934,1254160.14480105,248164.371890157
946,1270208.80664147,194302.569851011
947,1277588.85548103,259914.532478198
950,1270472.75947374,194303.642363012
955,1269075.13105632,270101.613128632
973,1281483.07442902,192236.043832898
979,1264226.86973935,171985.904484153
980,1264092.57802722,171984.419620156
981,1262364.79312944,190179.431094781
985,1272345.75512366,242010.374699861
987,1272680.45458001,216577.198865816
988,1273198.43320453,216566.881937802
992,1263449.36900255,267582.420038044
996,1253614.42966448,250115.426740155
998,1285947.29286559,187031.915443569
1006,1264381.02564351,262869.526529223
1007,1264862.34519601,248350.868274361
1014,1258176.70794116,187264.42283579696
1016,1266698.31332588,231082.127520666
1019,1279790.52101929,178814.896107152
1021,1288452.77536416,188498.908917069
1022,1260163.62359118,234436.858660102
1023,1259987.73911101,234287.586019948
1025,1279082.32626656,284566.48936744
1026,1263518.45092262,275709.399502367
1033,1259824.43171884,189510.459382102
1035,1255395.31817831,257796.114812031
1047,1264905.84606005,229070.519646615
1049,1256778.03785972,215871.732433096
1053,1252057.6644149,239911.164969712
1056,1279390.77740288,198383.339263186
1061,1285069.83033669,196324.407037079
1071,1284522.89574413,237045.459750772
1074,1270649.61412993,280700.017491475
1075,1270890.89745818,280696.455123469
1078,1269209.61835246,264648.832067043
1088,1256619.93878756,200822.429505691
1096,1284634.23411225,262775.164865121
1097,1271643.65675494,263405.83123377
1098,1271645.60721895,263721.61504209
1099,1271828.62917113,243120.059820995
1101,1268305.74251153,230981.43318456403
1104,1264065.34417118,264251.578882635
1108,1287905.3168036,186128.838514641
1126,1266052.91102122,236511.745254233
1129,1283319.2997749,276721.724559411
1131,1265300.61924446,172324.304420501
1135,1273113.53240445,284402.810583279
1137,1281123.81926066,280597.748307377
1140,1276687.22706412,283135.66613397
1142,1265547.0488767,190440.155639052
1152,1283878.97087948,259453.375549719
1154,1253587.65251246,249140.909683168
1163,1274316.28722169,267301.797893763
1181,1271704.87217902,268441.698118925
1192,1265413.43006057,178238.36381855598
1196,1267167.21655837,286487.6450174
1200,1270664.67217794,276720.270159408
1203,1270423.73534569,275622.803534284
1208,1280759.81074828,232296.356065914
1241,1258472.44259746,195491.63865222
1244,1262377.04964146,191136.857015774
1245,1262368.50506546,190469.406263083
1247,1274114.78238948,284537.957975417
1248,1274115.21874148,284870.758487746
1260,1272990.45854832,232876.609826505
1266,1253928.70236881,235339.01142902704
1284,1259383.74429439,258528.731452778
1290,1286945.07923461,174173.583526403
1293,1266619.41322981,286274.651993185
1294,1266622.9174858,286593.987929508
1297,1267170.13259037,196365.189117119
1298,1267159.51383835,195698.03161244103
1303,1253328.64419219,250123.583860174
1309,1276611.23308003,206595.639431596
1312,1284463.12883207,258442.821500689
1321,1283991.24620759,207388.423944414
1323,1271774.25131509,282338.213973165
1334,1274268.90315764,212036.76833316695
1335,1274426.9579418,212034.734541163
1354,1283985.43519959,206960.533063978
1355,1283556.97414315,260078.865470365
1357,1260124.46947914,189177.516789764
1358,1260102.23594312,188504.456117079
1367,1280732.46470025,218412.574483693
1369,1271776.84216309,282850.280533686
1370,1271778.18897909,283106.373205945
1371,1274504.02014987,215464.409104675
1372,1270712.36600199,276051.230862722
1377,1265419.97073257,286093.716953009
1387,1251823.15471865,211540.830348656
1396,1285959.78822561,187466.568436012
1405,1277641.81208909,266561.168453008
1406,1271425.92133072,270716.616201252
1410,1258919.73110992,257546.471611768
1418,1271215.07230651,226663.027740151
1424,1274356.26584573,194314.221051022
1436,1288237.00448394,182746.652655169
1439,1285742.04716939,278759.023953497
1443,1262872.42922597,283519.430486366
1449,1254130.27772902,243836.409133732
1453,1283885.21299148,233058.808610693
1456,1262631.50941771,268185.603206664
1458,1261564.87773663,211090.63143619904
1464,1283036.78585461,206108.674823105
1472,1267742.07633495,272121.105482697
1473,1273145.56222849,276636.97083132
1474,1273098.33918844,276787.829775468
1476,1261626.29488869,169247.168161348
1488,1273306.25906065,190650.974455267
1490,1275273.45362267,265288.334403694
1511,1261842.94634491,261883.273280218
1512,1273702.28779705,251148.97912521695
1527,1269112.17726435,242594.631724462
1531,1273019.65106036,277039.206863731
1535,1293179.71898501,185813.141938314
1537,1281069.9335006,284815.693975687
1538,1294060.9747939,183229.890543669
1541,1267816.39767903,284319.875735193
1566,1261068.72349612,205121.005574092
1572,1264350.15332347,282150.01224497
1575,1277753.8013372,284622.825879499
1577,1280306.63058782,278910.982993647
1581,1285064.24377669,178306.27965863
1586,1269093.85803233,271823.135306388
1595,1258751.86262974,188553.248373121
1597,1262133.68234521,239854.097193658
1598,1262135.47760922,239963.499177769
1600,1281394.42924494,195945.313276693
1610,1255813.44790673,193252.201849937
1614,1279361.96447486,206687.231751695
1617,1271561.45253086,254787.508920953
1636,1273183.20389253,215804.58100903
1644,1257036.989476,200857.393665716
1652,1282171.57337372,252050.04754214
1653,1282171.46150173,252324.33605442903
1659,1282039.03788559,251217.522613287
1686,1255188.6273621,245964.24145591297
1699,1258465.04336545,206518.447623521
1702,1262592.71031368,169012.65948911
1705,1274046.2067734,277930.805456638
1708,1270097.01316936,261456.576639771
1711,1261723.07389678,264098.103810474
1712,1261273.33367233,264113.539458498
1716,1276430.34667985,204525.698373482
1723,1267266.56247847,189001.200565577
1727,1295740.51738763,183318.784047768
1729,1277558.832569,218526.827475816
1740,1254449.02480134,253772.324599907
1758,1279855.27679536,253245.91749537
1759,1285666.71174531,203608.13325253097
1761,1283710.4817273,261386.923903704
1764,1270093.64478536,272740.000267327
1765,1270068.32491334,172594.686436787
1766,1270548.74264182,172584.819684774
1767,1278801.38981828,281150.104147941
1769,1271770.98718707,280673.270483449
1770,1271772.85989107,281466.093332261
1771,1286787.02739446,283645.244182497
1772,1286692.14899436,283822.916054681
1773,1268942.17233618,187804.383028358
1775,1284096.1256317,286478.921945393
1776,1284388.97248,286486.351705402
1804,1262050.31799312,204435.272325382
1805,1262015.06679308,203094.183172017
1806,1262013.51952909,261006.523071319
1808,1264638.56055577,279994.581522763
1809,1264642.25674778,280279.323091045
1812,1271166.96939446,197901.6903027
1813,1271158.99038646,197641.766910434
1814,1285611.08160125,177947.493994266
1816,1264087.55012321,287120.390426055
1818,1276921.97919235,265484.094787896
1848,1264109.31421924,179064.18237941
1850,1284536.31929615,255606.692025781
1852,1280211.32959571,180982.369133368
1855,1281070.76588459,284909.741335794
1856,1281072.4942046,285105.072983995
1858,1273042.49976438,225471.772634923
1859,1285314.39942494,196767.898941532
1861,1255029.66537793,213251.376462415
1872,1268552.16196778,209552.779850632
1873,1257843.42909281,256224.224570423
1902,1278382.29548185,271814.482058376
1905,1267097.61399829,272129.413194701
1906,1280097.0282836,169242.230241343
1911,1261870.14743294,262145.546048477
1913,1286906.47469057,204814.936645776
1914,1254844.87670575,191811.476408452
1921,1284952.09702457,201532.732866406
1923,1279530.18169102,256002.785018191
1934,1271927.98097923,176964.703273252
1936,1275886.26834328,277199.2662559
1943,1272426.58827575,195910.477756649
1945,1273016.58347635,193468.711610153
1959,1278971.78482646,217523.122514784
1960,1266904.07307009,188454.217397019
1961,1266246.63966142,188451.769205019
1962,1274514.62872589,225754.06012322
1972,1268390.43883161,179181.844203532
1973,1264394.04330753,280818.924051598
1975,1279226.95493871,280379.581075147
1978,1257573.04938054,286151.378265068
1979,1257177.30250013,286162.940249071
1987,1272370.1084037,194066.27013877
1992,1257402.91261236,256421.680826619
1998,1253995.40336087,252050.839862138
2007,1281067.2074846,233192.175138831
2009,1286542.98848221,175235.68311148896
