Fraction of Nodes Removed,Core Proportion
0.00274701691132286,0.99630869602541
0.00278993905056228,0.9962657738861704
0.0028328611898017,0.9961370074684522
0.0028757833290411192,0.9960940853292128
0.002918705468280539,0.9960082410507339
0.002961627607519959,0.9959653189114945
0.0030045497467593783,0.9959223967722551
0.003047471885998798,0.9958794746330157
0.003090394025238218,0.9958365524937763
0.0031333161644776374,0.995707786076058
0.003176238303717057,0.9956648639368186
0.003219160442956477,0.9956219417975792
0.0032620825821958964,0.9955790196583397
0.0033050047214353163,0.9955360975191003
0.003347926860674736,0.9954931753798609
0.0033908489999141555,0.9954502532406215
0.0034337711391535753,0.9954073311013821
0.003476693278392995,0.9953644089621426
0.003519615417632415,0.9952785646836638
0.0035625375568718344,0.995192720405185
0.0036054596961112542,0.9951497982659456
0.003648381835350674,0.9951068761267061
0.0036913039745900935,0.9950639539874667
0.0037342261138295133,0.9950210318482273
0.003777148253068933,0.994892265430509
0.0038200703923083525,0.9948064211520302
0.0038629925315477724,0.9947634990127908
0.003905914670787192,0.9947205768735514
0.003948836810026612,0.9946347325950725
0.003991758949266031,0.9945918104558331
0.004034681088505451,0.9945488883165937
0.004077603227744871,0.9945059661773543
0.004120525366984291,0.9944630440381148
0.00416344750622371,0.9944201218988754
0.00420636964546313,0.994377199759636
0.00424929178470255,0.9943342776203966
0.004292213923941969,0.9942913554811572
0.004335136063181389,0.9942484333419178
0.004378058202420809,0.9942055112026783
0.0044209803416602285,0.9941625890634389
0.004463902480899648,0.9941196669241995
0.004506824620139068,0.9940767447849601
0.0045497467593784875,0.9940338226457207
0.004592668898617907,0.9939479783672418
0.004635591037857327,0.9937762898102841
0.004678513177096747,0.9937333676710447
0.004721435316336166,0.9936475233925659
0.004764357455575586,0.9936046012533265
0.004807279594815006,0.993561679114087
0.004850201734054425,0.9935187569748476
0.004893123873293845,0.99334706841789
0.004936046012533265,0.9932183020001717
0.004978968151772684,0.9931753798609323
0.005021890291012104,0.9931324577216929
0.005064812430251524,0.9930895355824534
0.005107734569490943,0.9930036913039746
0.0051506567087303634,0.9929607691647352
0.005193578847969783,0.9929178470254958
0.005236500987209202,0.9928749248862563
0.0052794231264486225,0.9928320027470169
0.005322345265688042,0.9927461584685381
0.005365267404927461,0.9927032363292987
0.005408189544166882,0.9926603141900592
0.005451111683406301,0.992531547772341
0.00549403382264572,0.9924886256331016
0.005536955961885141,0.9924027813546227
0.00557987810112456,0.9922310927976651
0.0056228002403639794,0.9921023263799468
0.0056657223796034,0.9920594042407074
0.005708644518842819,0.992016482101468
0.0057515666580822385,0.9919306378229891
0.005794488797321659,0.9918877156837497
0.005837410936561078,0.9918447935445103
0.0058803330758004976,0.9918018714052709
0.005923255215039918,0.991716027126792
0.005966177354279337,0.9916731049875526
0.006009099493518757,0.9916301828483132
0.006052021632758177,0.9914584942913555
0.006094943771997596,0.9914155721521161
0.006137865911237016,0.9913726500128767
0.006180788050476436,0.9913297278736373
0.006223710189715855,0.9912868057343978
0.006266632328955275,0.9912438835951584
0.006309554468194695,0.991200961455919
