Node ID,Longitude,Latitude,Degree Centrality
411,1265401.62366055,234665.511780336,4.0
412,1265701.59518087,234658.856292337,4.0
413,1271813.20101112,275361.899214014,2.0
414,1272017.50872333,275531.346382186,3.0
415,1264006.30391513,189239.119349822,4.0
416,1263993.59101911,188703.64568527,4.0
417,1275739.63743114,280954.946387738,4.0
418,1276002.51154341,280942.463507727,1.0
419,1282048.3383656,208297.749513343,3.0
420,1282041.9315816,207921.563592955,4.0
421,1258890.08579789,214463.586319655,4.0
422,1258624.06077361,214470.060687661,4.0
423,1270897.60376218,241414.757099256,4.0
424,1271191.19608249,241406.438891247,4.0
425,1251557.23075038,239256.623977035,4.0
426,1251618.65615845,239918.536361724,4.0
427,1265401.32804455,246789.716208756,3.0
428,1265406.24369256,246954.268656924,3.0
429,1258314.7559413,212911.597582072,4.0
430,1258295.65296528,212206.491405338,4.0
431,1273664.10021302,253277.453879401,3.0
432,1273862.04011722,253270.108727396,4.0
433,1255185.96790609,196691.21503745,3.0
434,1286707.00787437,190644.988919258,4.0
435,1286688.64339435,189885.059638485,2.0
436,1254251.42089714,214603.774991795,4.0
437,1254237.06428912,213938.960399121,2.0
438,1286481.12710615,208148.872841194,3.0
439,1286477.38925013,207788.435912818,4.0
440,1266440.14225362,249498.323635533,4.0
441,1266446.57591763,249758.489139795,4.0
442,1266444.57559763,177107.2335134,2.0
443,1265959.86103712,177112.357545406,3.0
444,1283484.21279907,170258.48899439,3.0
445,1283634.05171123,170254.711138383,2.0
446,1265789.42174095,233349.118050992,2.0
447,1265791.09073295,233415.684899062,3.0
448,1270814.63941009,176557.03613683596,3.0
449,1271066.99121836,176557.166056842,3.0
450,1269330.43435258,175897.508904159,4.0
451,1269314.81726456,175240.981991485,4.0
452,1275575.59346297,229124.335198671,4.0
453,1275895.8339753,229116.870942652,4.0
454,1270424.7891057,274064.09966068,4.0
455,1295065.35764293,181879.040238291,3.0
456,1295063.01409093,181766.504046172,1.0
457,1271597.3543549,276029.997902691,3.0
458,1271750.05976306,276024.509774685,2.0
459,1280736.73932426,284327.660119191,3.0
460,1280736.73337226,284616.512599483,1.0
461,1263799.56420292,189777.56018237802,3.0
462,1263689.76682681,189779.23045437,3.0
463,1263685.2563628,283615.557910472,1.0
464,1263371.67690648,283624.339670479,3.0
465,1260020.65706305,169026.856289133,3.0
466,1259841.25021486,168629.262944713,4.0
467,1269341.94417658,270654.593993187,4.0
468,1269343.24568059,270760.100681305,4.0
469,1253499.28067237,251003.048949078,1.0
470,1253507.26819238,251316.269493386,3.0
471,1256231.22889917,251077.274869144,3.0
472,1286782.98899445,249163.453555182,2.0
473,1286958.33875462,249158.007027179,1.0
474,1282987.72793457,263045.627265409,4.0
475,1283218.8071668,263036.516033396,4.0
476,1274158.20485352,235984.13379769,4.0
477,1274418.14136578,235977.720421687,4.0
478,1272906.37829223,218975.758996278,4.0
479,1272709.35442004,218127.068819404,4.0
480,1286529.52659419,177929.980202243,3.0
481,1286782.01984245,177262.075689554,3.0
482,1267402.5599186,178325.892138645,4.0
483,1266741.73022193,178290.513962612,3.0
484,1284128.65247974,179515.564331874,3.0
485,1284294.0589439,179367.969771713,3.0
486,1275109.38770249,283198.371414036,5.0
487,1275121.70687051,284223.727639094,3.0
488,1295074.32839493,182562.836142987,4.0
489,1267121.43447831,280268.323475033,3.0
490,1267785.198255,280259.525587022,3.0
491,1262913.33892201,233473.991843119,2.0
492,1262917.30577001,233648.180131301,2.0
493,1294962.68756282,186508.085107028,3.0
