Node ID,Longitude,Latitude
134,1269429.16446468,275409.54510206
135,1293365.06900118,187098.91166763
136,1263899.44983502,239306.09303309
137,1263578.79197869,239310.656041101
138,1286124.69273777,250469.927988529
139,1286452.71635412,250462.30827651903
140,1252895.25660774,241888.374955744
141,1252630.71811147,241894.735147744
142,1281503.52447705,224567.178969994
143,1281508.38476504,224727.104474157
144,1255906.26435483,206583.175879583
145,1255893.83229081,206275.863815263
146,1274282.36312565,262005.069952339
147,1274287.39461365,263332.436417699
148,1271812.62360312,224388.446681812
149,1272089.89438741,224552.525785983
150,1277243.86668068,218532.477459818
151,1277236.76600868,218106.060627386
152,1253250.87664011,238026.825575784
153,1253012.02505587,238977.303016752
154,1249993.20105277,214783.617167979
155,1249067.76489183,214423.403279617
156,1266148.59358132,250294.497588351
157,1266156.64676532,250609.36146067097
158,1280661.65382019,181065.626861453
159,1281077.1979486,181074.766573459
160,1264359.95677949,190435.671095043
161,1284064.52723166,183615.953456059
162,1284315.11270392,183605.35467205904
163,1275724.35563913,273498.561420113
164,1275724.35755913,273624.971596241
165,1270425.5919217,277388.989008084
166,1270431.37732971,278050.473552763
167,1278738.71116221,175783.79357604697
168,1278738.70949821,175420.741159678
169,1280407.09036392,275046.280397683
170,1280729.71046025,275034.756493673
171,1264958.1405881,256952.308411166
172,1265288.06122844,256943.776891157
173,1259254.25437427,211145.917708263
174,1258928.14480592,211153.105356261
175,1267045.12235023,266826.329029277
176,1267048.67582224,267157.805381611
177,1268605.79934384,230121.900767684
178,1268928.17694417,230113.763999686
179,1256268.74326721,237184.078246921
180,1256273.2337632,237345.08906307802
181,1266453.41284563,227664.082845166
182,1266226.6938694,227870.505373389
183,1255616.55824253,210587.041227683
184,1255285.88995419,210598.314827695
185,1268898.14552014,254213.515320361
186,1268902.42276815,254477.183736622
187,1255407.24893032,258198.797372445
188,1255079.59574598,258214.809788451
189,1276301.07627971,265258.702851668
190,1276632.77048805,265247.812803656
191,1257392.51267636,241084.258090913
